Model,AUC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Training_Time,Optimal_Threshold
Random Forest,0.8338465658053288,0.7219983883964545,0.16161616161616163,0.8311688311688312,0.27061310782241016,0.1032048337463956,0.8710942268371582,0.31081368698679485
SVM,0.8193086981746774,0.6857373086220789,0.14831460674157304,0.8571428571428571,0.25287356321839083,0.17606296783216788,6.216015577316284,0.4303478702485382
XGBoost,0.8161958316597492,0.6962127316680097,0.14622641509433962,0.8051948051948052,0.24750499001996007,0.0990737385777835,2.2667765617370605,0.266356785694152
Gradient Boosting,0.8161958316597492,0.6962127316680097,0.14622641509433962,0.8051948051948052,0.24750499001996007,0.0990737385777835,2.3059918880462646,0.266356785694152
AdaBoost,0.794165885660731,0.6406124093473006,0.12877263581488935,0.8311688311688312,0.2229965156794425,0.2056975977264079,0.34010815620422363,0.483891242740729
kNN,0.7882637122327845,0.6164383561643836,0.12287334593572778,0.8441558441558441,0.2145214521452145,0.191367871349453,0.08548688888549805,0.38095238095238093
Neural Network,0.7512607667246842,0.6430298146655923,0.125,0.7922077922077922,0.215929203539823,0.12162982304194225,8.32454228401184,0.04401479174073589
