Model,AUC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Optimal_Threshold,Training_Time
Random Forest,0.8422423796135136,0.7195809830781628,0.16209476309226933,0.8441558441558441,0.2719665271966527,0.05153328380512073,0.06958086108973174,3.379769802093506
AdaBoost,0.8242457714107199,0.7034649476228848,0.1543942992874109,0.8441558441558441,0.26104417670682734,0.05278020128781985,0.07053091645068811,1.3555731773376465
XGBoost,0.8203351631186684,0.7461724415793715,0.16759776536312848,0.7792207792207793,0.27586206896551724,0.05047572634533844,0.07193028164473476,9.014974594116211
Gradient Boosting,0.8203351631186684,0.7461724415793715,0.16759776536312848,0.7792207792207793,0.27586206896551724,0.05047572634533844,0.07193028164473476,8.986958503723145
SVM,0.8179140447181684,0.6825141015310233,0.14699331848552338,0.8571428571428571,0.2509505703422053,0.05229112684807018,0.06287690405292622,19.45054793357849
kNN,0.7936414959610837,0.6921837228041902,0.14942528735632185,0.8441558441558441,0.25390625,0.05389927604707982,0.0775121336093704,0.21995186805725098
Neural Network,0.7613859508189404,0.6744560838033844,0.1309255079006772,0.7532467532467533,0.2230769230769231,0.055176884417832785,0.07288845493694518,35.71795964241028
