Model,Brier_Uncalibrated,Brier_Isotonic,Improvement_%
XGBoost,0.10297758846758745,0.051089713427251056,50.38754141797395
Gradient Boosting,0.10297758846758745,0.051089713427251056,50.38754141797395
SVM,0.17603991190305193,0.052051180458350846,70.43217080964214
AdaBoost,0.20846527797287062,0.052182306002763204,74.96834652265011
Random Forest,0.10809182959097226,0.053239651806742325,50.74590558027814
kNN,0.1969920388246623,0.054559128007283075,72.30389190710149
Neural Network,0.11846667936902296,0.055334136975256534,53.29139191713895
