Model,AUC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Training_Time,Optimal_Threshold
Random Forest,0.829919221671799,0.6881547139403706,0.1493212669683258,0.8571428571428571,0.2543352601156069,0.11431550419634211,0.9968645572662354,0.3134843758436066
AdaBoost,0.8130829651448208,0.6003223207091055,0.12387791741472172,0.8961038961038961,0.21766561514195584,0.19667471071406822,0.5452649593353271,0.4682557081143046
Logistic Regression,0.8083634578479939,0.7219983883964545,0.1564102564102564,0.7922077922077922,0.26124197002141325,0.18868840841318793,0.032737016677856445,0.48491071297130317
SVM,0.8025840139242201,0.6116035455278002,0.12844036697247707,0.9090909090909091,0.22508038585209003,0.14778185442578176,4.516752481460571,0.19402916400976317
XGBoost,0.7949859418931583,0.5551974214343272,0.11631663974151858,0.935064935064935,0.20689655172413793,0.0626417162531457,2.8330161571502686,0.03370746654477396
Gradient Boosting,0.7949859418931583,0.5551974214343272,0.11631663974151858,0.935064935064935,0.20689655172413793,0.0626417162531457,2.780810594558716,0.03370746654477396
kNN,0.7336713973311912,0.6978243352135375,0.1311881188118812,0.6883116883116883,0.2203742203742204,0.16003279155234842,0.05993294715881348,0.2598815120349471
Neural Network,0.7126009729102512,0.7614826752618856,0.1362126245847176,0.5324675324675324,0.21693121693121692,0.10859092373085126,14.675332069396973,0.023491061937761362
