Model,Brier_Score
XGBoost,0.0990737385777835
Gradient Boosting,0.0990737385777835
Random Forest,0.1032048337463956
Neural Network,0.12162982304194223
SVM,0.17606296783216788
kNN,0.191367871349453
AdaBoost,0.2056975977264079
