Feature,Mean |SHAP|
Age,0.8523798009249646
PHR,0.713890043212861
MCV,0.6023635393770532
AIP,0.3085538292886001
Dyslipidemia,0.22134736853195622
Uric_acid,0.14972026158179624
Exercise,0.042403356016261246
